Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
kube-controller-manager-kaas-8002-fullvsphere-control-plane-qqzgf,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,7,10.208.3.14,10.208.3.14
kube-proxy-6rnqn,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
kube-proxy-bsfx8,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,2,10.208.3.13,10.208.3.13
kube-proxy-gssmz,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,3,10.208.3.12,10.208.3.12
kube-proxy-j9zxx,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
kube-proxy-ntk6p,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
kube-proxy-r9l8x,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
kube-proxy-rzlmt,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,2,10.208.3.14,10.208.3.14
kube-scheduler-kaas-8002-fullvsphere-control-plane-84mh8,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,8,10.208.3.12,10.208.3.12
kube-scheduler-kaas-8002-fullvsphere-control-plane-j6hfv,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,6,10.208.3.13,10.208.3.13
kube-scheduler-kaas-8002-fullvsphere-control-plane-qqzgf,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,7,10.208.3.14,10.208.3.14
sealed-secrets-controller-6f578cf995-wc5tt,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.77
sysctl-tuning-77c7t,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
sysctl-tuning-ddh8d,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
sysctl-tuning-t586n,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
sysctl-tuning-w7xxp,Running,kube-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
vsphere-cloud-controller-manager-gd8hs,Running,kube-system,kaas-8002-fullvsphere-control-plane-qqzgf,28,10.208.3.14,10.208.3.14
vsphere-cloud-controller-manager-vvqnl,Running,kube-system,kaas-8002-fullvsphere-control-plane-j6hfv,6,10.208.3.13,10.208.3.13
vsphere-cloud-controller-manager-xchbr,Running,kube-system,kaas-8002-fullvsphere-control-plane-84mh8,10,10.208.3.12,10.208.3.12
controller-76597c5749-xgmk4,Running,metallb-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.18
speaker-6bplt,Running,metallb-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
speaker-7fp4x,Running,metallb-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
speaker-k7wnx,Running,metallb-system,kaas-8002-fullvsphere-control-plane-j6hfv,3,10.208.3.13,10.208.3.13
speaker-mzjcr,Running,metallb-system,kaas-8002-fullvsphere-control-plane-84mh8,5,10.208.3.12,10.208.3.12
speaker-mzkns,Running,metallb-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
speaker-qlf4n,Running,metallb-system,kaas-8002-fullvsphere-control-plane-qqzgf,3,10.208.3.14,10.208.3.14
